image,fever,appetite,lesions,swelling,milk_change,lameness,discharge,behavior,disease
Foot and mouth/pigf 2d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf 4-5d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigf10d-8WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigfoot2WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 0-1d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 10d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 10d-2WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 1-1 vWM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 2-3-4WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 2d-2WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 3-4d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 3-4d-2WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/pigm 4-5d-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/small2dcow-1WM-1.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/smalltongueWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/teats_4-5 daysWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/teats_4-5_daysWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/teats_healing occuredWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/teats_unrupted 1dayWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue_2-3_days_WM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue_3-4_days_WM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue_3-4_daysWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue_4-5_days_WM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue_4-5_daysWM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue_4-5days.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
Foot and mouth/tongue-4-5_days_1WM.jpg,high,low,mouth+hoof,no,high_drop,yes,no,drooling,FMD
